record_type,unique_system_identifier,uls_file_number,ebf_number,call_sign,frequency_action_performed,location_number,antenna_number,class_station_code,op_altitude_code,frequency_assigned,frequency_upper_band,frequency_carrier,time_begin_operations,time_end_operations,power_output,power_erp,tolerance,frequency_ind,status,eirp,transmitter_make,transmitter_model,auto_transmitter_power_control,cnt_mobile_units,cnt_mob_pagers,freq_seq_id,status_code,status_date,date_first_used
FR,532,,,KGC602,,2,1,FBBS,,152.63000000,,,,,,76.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,4,1,FBBS,,152.63000000,,,,,,137.000,,,,,,,,,,1,,,01/24/1994
FR,532,,,KGC602,,4,2,FBBS,,152.63000000,,,,,,201.400,,,,,,,,,,1,,,
FR,532,,,KGC602,,5,1,FBBS,,152.63000000,,,,,,500.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,6,1,FBBS,,152.63000000,,,,,,103.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,7,1,FBBS,,152.63000000,,,,,,500.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,9,1,FBBS,,152.63000000,,,,,,500.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,10,1,FBBS,,152.63000000,,,,,,443.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,11,1,FBBS,,152.63000000,,,,,,500.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,12,1,FBBS,,152.63000000,,,,,,500.000,,,,,,,,,,1,,,01/24/1994
FR,532,,,KGC602,,13,1,FBBS,,152.63000000,,,,,,109.010,,,,,,,,,,1,,,
FR,532,,,KGC602,,15,1,FBBS,,152.63000000,,,,,,201.300,,,,,,,,,,1,,,
FR,532,,,KGC602,,16,1,FBBS,,152.63000000,,,,,,500.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,18,1,FBBS,,152.63000000,,,,,,583.400,,,,,,,,,,1,,,
FR,532,,,KGC602,,20,1,FBBS,,152.63000000,,,,,,283.800,,,,,,,,,,1,,,
FR,532,,,KGC602,,21,1,FBBS,,152.63000000,,,,,,246.600,,,,,,,,,,1,,,
FR,532,,,KGC602,,23,1,FBBS,,152.63000000,,,,,,555.900,,,,,,,,,,1,,,
FR,532,,,KGC602,,24,1,FBBS,,152.63000000,,,,,,151.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,25,1,FBBS,,152.63000000,,,,,,579.300,,,,,,,,,,1,,,
FR,532,,,KGC602,,27,1,FBBS,,152.63000000,,,,,,260.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,28,1,FBBS,,152.63000000,,,,,,252.300,,,,,,,,,,1,,,
FR,532,,,KGC602,,29,1,FBBS,,152.63000000,,,,,,542.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,30,1,FBBS,,152.63000000,,,,,,223.500,,,,,,,,,,1,,,
FR,532,,,KGC602,,32,1,FBBS,,152.63000000,,,,,,248.300,,,,,,,,,,1,,,
FR,532,,,KGC602,,34,1,FBBS,,152.63000000,,,,,,718.100,,,,,,,,,,1,,,03/26/1997
FR,532,,,KGC602,,35,1,FBBS,,152.63000000,,,,,,490.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,35,2,FBBS,,152.63000000,,,,,,174.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,37,1,FBBS,,152.63000000,,,,,,500.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,39,1,FBBS,,152.63000000,,,,,,500.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,40,1,FBBS,,152.63000000,,,,,,500.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,41,1,FBBS,,152.63000000,,,,,,500.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,42,1,FBBS,,152.63000000,,,,,,500.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,43,1,FBBS,,152.63000000,,,,,,46.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,44,1,FBBS,,152.63000000,,,,,,479.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,45,1,FBBS,,152.63000000,,,,,,213.000,,,,,,,,,,1,,,08/21/1989
